id,title_2,description_2,id_description
100000,Recorrido a pie por la ciudad con entrada a las catacumbas,"Realiza un recorrido guiado por el centro de una ciudad histórica, explorando monumentos importantes y estructuras coloniales. Visita una iglesia histórica, un monasterio barroco y un sitio subterráneo de relevancia histórica. Descubre vestigios antiguos y aprende sobre la cultura local.","100000 Realiza un recorrido guiado por el centro de una ciudad histórica, explorando monumentos importantes y estructuras coloniales. Visita una iglesia histórica, un monasterio barroco y un sitio subterráneo de relevancia histórica. Descubre vestigios antiguos y aprende sobre la cultura local."
100001,Recorrido por las Pirámides Incas en el Santuario de Pachacamac,"Explora el fascinante sitio arqueológico de Pachacamac, una de las maravillas de la costa central de Sudamérica. Admira las imponentes pirámides de adobe, antiguos caminos incas y palacios, todo mientras disfrutas de una vista impresionante del valle que marca el límite final de Lima. Destaca la Pirámide del Templo del Sol, un centro ceremonial que ofrece vistas panorámicas del océano y los Andes. A lo largo del recorrido, descubrirás los ingeniosos acueductos subterráneos incas, una obra maestra de la ingeniería antigua.","100001 Explora el fascinante sitio arqueológico de Pachacamac, una de las maravillas de la costa central de Sudamérica. Admira las imponentes pirámides de adobe, antiguos caminos incas y palacios, todo mientras disfrutas de una vista impresionante del valle que marca el límite final de Lima. Destaca la Pirámide del Templo del Sol, un centro ceremonial que ofrece vistas panorámicas del océano y los Andes. A lo largo del recorrido, descubrirás los ingeniosos acueductos subterráneos incas, una obra maestra de la ingeniería antigua."
100003,Clase de Cocina Peruana: Tradición y Creatividad,"Únete a una divertida clase de cocina donde aprenderás a preparar algunos de los platos más emblemáticos de la gastronomía peruana, como la causa de pollo, el ceviche y el pisco sour. Guiado por chefs locales apasionados, descubrirás nuevas técnicas culinarias y explorarás sabores auténticos utilizando ingredientes peruanos frescos. Vive una experiencia única que combina la tradición con un enfoque moderno en un ambiente relajado, mientras compartes la alegría de la cocina peruana.","100003 Únete a una divertida clase de cocina donde aprenderás a preparar algunos de los platos más emblemáticos de la gastronomía peruana, como la causa de pollo, el ceviche y el pisco sour. Guiado por chefs locales apasionados, descubrirás nuevas técnicas culinarias y explorarás sabores auténticos utilizando ingredientes peruanos frescos. Vive una experiencia única que combina la tradición con un enfoque moderno en un ambiente relajado, mientras compartes la alegría de la cocina peruana."
100004,Tour Gastronómico por Lima: Sabores y Cultura Peruana,"Embárcate en un recorrido a pie para explorar los sabores más representativos de la gastronomía peruana. A lo largo de esta experiencia, degustarás una variedad de platos tradicionales como el ceviche, el lomo saltado y el famoso pisco sour, junto con otras delicias locales. Además de disfrutar de la comida, aprenderás sobre la historia y la cultura de Perú mientras visitas Barranco, uno de los barrios más encantadores de Lima. Este tour también te permitirá conocer a artesanos y empresarios locales, sumergiéndote en la rica tradición culinaria y cultural del país.","100004 Embárcate en un recorrido a pie para explorar los sabores más representativos de la gastronomía peruana. A lo largo de esta experiencia, degustarás una variedad de platos tradicionales como el ceviche, el lomo saltado y el famoso pisco sour, junto con otras delicias locales. Además de disfrutar de la comida, aprenderás sobre la historia y la cultura de Perú mientras visitas Barranco, uno de los barrios más encantadores de Lima. Este tour también te permitirá conocer a artesanos y empresarios locales, sumergiéndote en la rica tradición culinaria y cultural del país."
100005,Recorrido en Bicicleta por los Distritos de Miraflores y Barranco,"Explora los vibrantes distritos de Miraflores y Barranco en un recorrido en bicicleta que te llevará por algunos de los lugares más emblemáticos de Lima. Comienza en el Parque Kennedy de Miraflores, luego pedalea hacia la costa para disfrutar de impresionantes vistas panorámicas del océano Pacífico. Continuamos hacia Barranco, el corazón artístico de Lima, donde podrás admirar el Puente de los Suspiros y los coloridos murales que adornan las calles. Disfruta de un paseo agradable y activo mientras descubres la esencia de estos dos icónicos barrios.","100005 Explora los vibrantes distritos de Miraflores y Barranco en un recorrido en bicicleta que te llevará por algunos de los lugares más emblemáticos de Lima. Comienza en el Parque Kennedy de Miraflores, luego pedalea hacia la costa para disfrutar de impresionantes vistas panorámicas del océano Pacífico. Continuamos hacia Barranco, el corazón artístico de Lima, donde podrás admirar el Puente de los Suspiros y los coloridos murales que adornan las calles. Disfruta de un paseo agradable y activo mientras descubres la esencia de estos dos icónicos barrios."
100006,Vuelo en Parapente sobre la Costa Verde,"Vuela sobre la impresionante costa de Lima en un emocionante vuelo en parapente motorizado, conocido como paratrike. Disfruta de vistas espectaculares de los acantilados de la Costa Verde, pasando por varios distritos de la ciudad. El vuelo ofrece una experiencia única, con la seguridad garantizada gracias a equipos profesionales y pilotos experimentados. Al finalizar, recibirás un video de alta calidad para recordar esta increíble aventura.","100006 Vuela sobre la impresionante costa de Lima en un emocionante vuelo en parapente motorizado, conocido como paratrike. Disfruta de vistas espectaculares de los acantilados de la Costa Verde, pasando por varios distritos de la ciudad. El vuelo ofrece una experiencia única, con la seguridad garantizada gracias a equipos profesionales y pilotos experimentados. Al finalizar, recibirás un video de alta calidad para recordar esta increíble aventura."
100007,"Recorrido por Miraflores y Barranco: Historia, Arte y Paisajes","Descubre la belleza y la historia de algunos de los distritos más emblemáticos de Lima. Comienza explorando Miraflores, donde podrás admirar el yacimiento arqueológico de Huaca Pucllana, un antiguo centro ceremonial de adobe. Luego, relájate en el Parque de los Olivos, en San Isidro, un espacio tranquilo rodeado de árboles centenarios. Continúa con una visita al Parque del Amor, conocido por su icónica escultura El Beso, y disfruta de las vistas al océano Pacífico desde los acantilados de Miraflores. Finalmente, adéntrate en Barranco, el vibrante barrio artístico de Lima, famoso por sus murales y el Puente de los Suspiros, un lugar lleno de encanto y tradición.","100007 Descubre la belleza y la historia de algunos de los distritos más emblemáticos de Lima. Comienza explorando Miraflores, donde podrás admirar el yacimiento arqueológico de Huaca Pucllana, un antiguo centro ceremonial de adobe. Luego, relájate en el Parque de los Olivos, en San Isidro, un espacio tranquilo rodeado de árboles centenarios. Continúa con una visita al Parque del Amor, conocido por su icónica escultura El Beso, y disfruta de las vistas al océano Pacífico desde los acantilados de Miraflores. Finalmente, adéntrate en Barranco, el vibrante barrio artístico de Lima, famoso por sus murales y el Puente de los Suspiros, un lugar lleno de encanto y tradición."
100008,Circuito Mágico del Agua: Espectáculo de Luces y Agua,"Vive una experiencia única en el Circuito Mágico del Agua, un parque conocido por su impresionante espectáculo de luces, agua y sonido. El evento principal es una fuente coreografiada que se ilumina con proyecciones acompañadas de música tradicional, creando una atmósfera mágica.","100008 Vive una experiencia única en el Circuito Mágico del Agua, un parque conocido por su impresionante espectáculo de luces, agua y sonido. El evento principal es una fuente coreografiada que se ilumina con proyecciones acompañadas de música tradicional, creando una atmósfera mágica."
100009,Tour Arqueológico de Lima: Huaca Pucllana y Museo Larco,"Descubre las maravillas arqueológicas de Lima con una visita a Huaca Pucllana, una antigua pirámide preincaica construida en adobe, y el Museo Larco, que alberga una impresionante colección de arte precolombino. Aprende sobre la historia de las civilizaciones que habitaron la región y explora su legado artístico, desde cerámicas hasta joyas de gran valor cultural. Este recorrido te permitirá sumergirte en el vibrante pasado de Lima, una ciudad donde la historia antigua y la modernidad se encuentran.","100009 Descubre las maravillas arqueológicas de Lima con una visita a Huaca Pucllana, una antigua pirámide preincaica construida en adobe, y el Museo Larco, que alberga una impresionante colección de arte precolombino. Aprende sobre la historia de las civilizaciones que habitaron la región y explora su legado artístico, desde cerámicas hasta joyas de gran valor cultural. Este recorrido te permitirá sumergirte en el vibrante pasado de Lima, una ciudad donde la historia antigua y la modernidad se encuentran."
100010,Tour a pie por el centro histórico de Lima (grupo reducido),"Recorre a pie el centro histórico de Lima y descubre sus principales monumentos, como la Plaza Mayor, el convento de Santo Domingo, la Casa de la Literatura Peruana y la antigua muralla española. Explora la historia y la arquitectura de la ciudad mientras te sumerges en su vibrante cultura y tradiciones. Esta experiencia te permitirá conocer los aspectos más representativos de Lima a tu propio ritmo.","100010 Recorre a pie el centro histórico de Lima y descubre sus principales monumentos, como la Plaza Mayor, el convento de Santo Domingo, la Casa de la Literatura Peruana y la antigua muralla española. Explora la historia y la arquitectura de la ciudad mientras te sumerges en su vibrante cultura y tradiciones. Esta experiencia te permitirá conocer los aspectos más representativos de Lima a tu propio ritmo."
